epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.316,0.80422,1.94257,3.96389,1.343,0.28026,0.15338,0.13603,0.10458,0.28026,0.15338,0.13574,0.10163,0.74402,1.43721,3.32601,1.43388,0.00332912,0.00332912,0.00332912
2,429.502,0.84791,1.54009,3.1874,1.33494,0.31058,0.58024,0.44651,0.35904,0.31012,0.58386,0.44479,0.32549,0.73957,1.41878,2.17003,1.36934,0.00664597,0.00664597,0.00664597
3,631.913,0.86014,1.54173,2.69499,1.3298,0.4543,0.41142,0.40053,0.3152,0.4543,0.41142,0.4006,0.28099,0.7769,1.60395,2.50264,1.42196,0.00994631,0.00994631,0.00994631
4,841.279,0.88889,1.58643,2.48509,1.34142,0.32643,0.54857,0.49503,0.36767,0.32359,0.54589,0.48801,0.34695,0.87375,1.53023,2.29231,1.53213,0.00992575,0.00992575,0.00992575
5,1056.01,0.85853,1.52492,2.31128,1.32431,0.61435,0.60141,0.68038,0.52481,0.61694,0.60362,0.68212,0.49165,0.77367,1.33154,1.57041,1.41399,0.009901,0.009901,0.009901
6,1267.79,0.83861,1.45253,2.11514,1.29715,0.59973,0.64801,0.68382,0.55984,0.59806,0.64562,0.68084,0.53317,0.71648,1.17204,1.54689,1.36766,0.00987625,0.00987625,0.00987625
7,1488.2,0.81729,1.44202,2.00639,1.29211,0.65969,0.74016,0.79689,0.65191,0.65883,0.73854,0.79473,0.61244,0.68392,1.11088,1.18616,1.30582,0.0098515,0.0098515,0.0098515
8,1694.14,0.79989,1.39548,1.85867,1.27449,0.5661,0.65874,0.70243,0.57713,0.5656,0.65599,0.70138,0.54381,0.6828,1.08088,1.53631,1.31324,0.00982675,0.00982675,0.00982675
9,1899.53,0.78797,1.36498,1.77577,1.25927,0.7307,0.75772,0.84149,0.71739,0.72622,0.75249,0.83534,0.6592,0.60751,1.05984,1.02175,1.22462,0.009802,0.009802,0.009802
10,2106.9,0.77032,1.33902,1.63703,1.25044,0.65049,0.77112,0.82375,0.67398,0.64802,0.76986,0.81811,0.64257,0.66003,1.05518,1.11601,1.28127,0.00977725,0.00977725,0.00977725
11,2314.09,0.76083,1.32147,1.56007,1.24343,0.72962,0.75259,0.81324,0.69037,0.72574,0.75058,0.80809,0.64138,0.62399,1.06473,1.1134,1.25067,0.0097525,0.0097525,0.0097525
12,2523.38,0.74174,1.32183,1.5143,1.22384,0.72087,0.68481,0.74195,0.60552,0.71348,0.67554,0.72709,0.56124,0.6615,1.08505,1.37103,1.27906,0.00972775,0.00972775,0.00972775
13,2731.54,0.73841,1.2787,1.44141,1.22751,0.64552,0.78211,0.81187,0.68901,0.64552,0.78211,0.81187,0.64678,0.58283,1.00721,1.14767,1.20637,0.009703,0.009703,0.009703
14,2946.86,0.72544,1.27029,1.40191,1.21502,0.72631,0.73592,0.82593,0.71114,0.72631,0.73592,0.82402,0.66719,0.59212,1.00465,1.15069,1.22201,0.00967825,0.00967825,0.00967825
15,3155.25,0.7144,1.2633,1.32808,1.21003,0.80278,0.78321,0.88928,0.76281,0.8009,0.78194,0.88723,0.70427,0.56667,1.03663,0.8865,1.17028,0.0096535,0.0096535,0.0096535
16,3362.58,0.71151,1.26365,1.29751,1.20097,0.78204,0.83929,0.91216,0.76578,0.78204,0.83929,0.91216,0.72243,0.58961,1.00644,0.85007,1.21905,0.00962875,0.00962875,0.00962875
17,3568.46,0.69743,1.25576,1.26013,1.19588,0.82044,0.78567,0.88874,0.758,0.81823,0.78283,0.88544,0.69259,0.57577,1.06555,0.95266,1.20268,0.009604,0.009604,0.009604
18,3776.15,0.68468,1.22434,1.21207,1.18467,0.80268,0.85903,0.91546,0.77636,0.80004,0.85619,0.9128,0.72703,0.55688,1.0145,0.76747,1.16979,0.00957925,0.00957925,0.00957925
19,3984,0.67495,1.21809,1.1908,1.18226,0.77464,0.85376,0.89339,0.76929,0.7705,0.8557,0.89132,0.72153,0.5709,1.01154,0.80486,1.19251,0.0095545,0.0095545,0.0095545
20,4192.01,0.67592,1.19084,1.15297,1.17839,0.77179,0.84771,0.89431,0.77891,0.77179,0.84771,0.89431,0.72082,0.53575,0.98111,0.78924,1.14183,0.00952975,0.00952975,0.00952975
21,4404.14,0.66686,1.19764,1.13951,1.17253,0.78641,0.71969,0.84127,0.72311,0.78641,0.71969,0.84155,0.68045,0.56898,1.04516,1.07712,1.18375,0.009505,0.009505,0.009505
22,4611.43,0.6604,1.19408,1.09066,1.17044,0.83704,0.89298,0.93404,0.80465,0.83514,0.89118,0.93111,0.75811,0.55999,0.95458,0.67524,1.1589,0.00948025,0.00948025,0.00948025
23,4819.65,0.66855,1.17328,1.09221,1.17217,0.85466,0.79733,0.89638,0.77357,0.85466,0.79733,0.89638,0.72857,0.54315,0.96473,0.83761,1.17293,0.0094555,0.0094555,0.0094555
24,5024.52,0.65331,1.16819,1.05335,1.16563,0.88698,0.88431,0.95354,0.82607,0.88003,0.87713,0.94355,0.76685,0.55111,0.9337,0.61983,1.16914,0.00943075,0.00943075,0.00943075
25,5232.98,0.64677,1.15884,1.01054,1.1596,0.88998,0.81907,0.93261,0.80834,0.88998,0.81907,0.93261,0.76066,0.54156,0.99101,0.72676,1.14935,0.009406,0.009406,0.009406
26,5436.85,0.64449,1.15467,1.02173,1.16114,0.86393,0.87027,0.94451,0.81244,0.86393,0.87027,0.94451,0.77466,0.55207,0.92052,0.68599,1.14846,0.00938125,0.00938125,0.00938125
27,5651.95,0.64721,1.15321,1.00916,1.16216,0.87473,0.84461,0.92832,0.80094,0.86269,0.84206,0.92112,0.75273,0.55619,0.95234,0.69262,1.1856,0.0093565,0.0093565,0.0093565
28,5882.33,0.63468,1.1305,1.0044,1.15156,0.9127,0.93836,0.97336,0.84962,0.9127,0.93836,0.97336,0.80153,0.52787,0.90081,0.53147,1.12611,0.00933175,0.00933175,0.00933175
29,6089.07,0.62781,1.14195,0.9728,1.15124,0.85811,0.88837,0.95487,0.83712,0.85811,0.88837,0.95487,0.78372,0.51816,0.92307,0.64568,1.13293,0.009307,0.009307,0.009307
30,6292.53,0.63098,1.14629,0.95916,1.14926,0.87942,0.86812,0.95135,0.84754,0.88288,0.86536,0.94809,0.78675,0.49004,0.91701,0.59191,1.09122,0.00928225,0.00928225,0.00928225
31,6499.4,0.61336,1.11885,0.95569,1.14126,0.81321,0.83717,0.89362,0.78251,0.81321,0.83717,0.89362,0.73396,0.52633,0.91412,0.80699,1.13271,0.0092575,0.0092575,0.0092575
32,6704.55,0.61097,1.1232,0.9339,1.13946,0.93344,0.88867,0.96723,0.85522,0.93344,0.88867,0.96723,0.80635,0.5036,0.88673,0.54127,1.10869,0.00923275,0.00923275,0.00923275
33,6910.9,0.61707,1.12837,0.9291,1.13976,0.86043,0.88031,0.93276,0.81932,0.85516,0.87491,0.92496,0.76325,0.51043,0.94272,0.66701,1.11192,0.009208,0.009208,0.009208
34,7115.12,0.61543,1.12076,0.92364,1.13843,0.84606,0.88979,0.93442,0.82267,0.84606,0.88979,0.93442,0.77992,0.5066,0.8701,0.63292,1.10785,0.00918325,0.00918325,0.00918325
35,7322.97,0.60634,1.103,0.89477,1.14117,0.90461,0.91412,0.95639,0.85416,0.90461,0.91412,0.95639,0.80049,0.49336,0.90615,0.53606,1.09821,0.0091585,0.0091585,0.0091585
36,7527.12,0.60881,1.10497,0.9158,1.13455,0.91981,0.89976,0.96121,0.86032,0.91981,0.89976,0.96121,0.80555,0.4817,0.88816,0.52315,1.08584,0.00913375,0.00913375,0.00913375
37,7732.22,0.60571,1.08198,0.87958,1.13402,0.92972,0.89657,0.97138,0.8598,0.92972,0.89657,0.97138,0.8213,0.49386,0.85228,0.49173,1.11146,0.009109,0.009109,0.009109
38,7935.23,0.587,1.09102,0.8713,1.12073,0.92531,0.91297,0.94977,0.84515,0.92531,0.91297,0.94977,0.79554,0.48764,0.85573,0.56214,1.08891,0.00908425,0.00908425,0.00908425
39,8140.73,0.6022,1.10311,0.86277,1.1357,0.92103,0.89332,0.96003,0.85443,0.92103,0.89332,0.96003,0.80435,0.48728,0.8742,0.54297,1.08863,0.0090595,0.0090595,0.0090595
40,8352.11,0.59846,1.08137,0.85739,1.12931,0.9054,0.91839,0.94685,0.83725,0.9054,0.91839,0.94685,0.78932,0.50291,0.86216,0.55464,1.1106,0.00903475,0.00903475,0.00903475
41,8558,0.58894,1.08433,0.84364,1.12329,0.90849,0.90627,0.9628,0.85092,0.90581,0.90403,0.95924,0.80904,0.51029,0.86261,0.52609,1.11866,0.00901,0.00901,0.00901
42,8765.85,0.59644,1.07748,0.84157,1.1296,0.91323,0.92505,0.96675,0.85862,0.91323,0.92505,0.96675,0.80955,0.49748,0.87219,0.48943,1.10911,0.00898525,0.00898525,0.00898525
43,8971.1,0.58214,1.06819,0.82818,1.119,0.91267,0.89989,0.95724,0.85547,0.91267,0.89989,0.95724,0.80012,0.48787,0.87964,0.57572,1.0929,0.0089605,0.0089605,0.0089605
44,9175.16,0.58871,1.05433,0.81945,1.12418,0.91532,0.93761,0.96215,0.85709,0.91198,0.93411,0.95696,0.81093,0.48634,0.84434,0.49207,1.08829,0.00893575,0.00893575,0.00893575
45,9378.78,0.57436,1.04836,0.79773,1.11513,0.90696,0.89933,0.95739,0.85674,0.90696,0.89933,0.95739,0.80357,0.4792,0.85959,0.52066,1.06779,0.008911,0.008911,0.008911
46,9588.52,0.58745,1.07693,0.83207,1.12543,0.9165,0.90239,0.96261,0.8541,0.9165,0.90239,0.96261,0.80862,0.4761,0.84896,0.53933,1.0844,0.00888625,0.00888625,0.00888625
47,9791.39,0.57494,1.0609,0.78819,1.11335,0.89603,0.92409,0.95886,0.85775,0.89603,0.92409,0.95886,0.80861,0.45494,0.84155,0.50013,1.08177,0.0088615,0.0088615,0.0088615
48,10002.1,0.58006,1.04639,0.79343,1.11425,0.88191,0.92067,0.94384,0.84588,0.88191,0.92067,0.94384,0.79212,0.46839,0.87451,0.60266,1.06965,0.00883675,0.00883675,0.00883675
49,10204.8,0.56935,1.04673,0.78817,1.1098,0.9016,0.93362,0.96315,0.85672,0.9016,0.93362,0.96315,0.81152,0.47262,0.85305,0.49567,1.07621,0.008812,0.008812,0.008812
50,10406.5,0.58053,1.07623,0.80678,1.11665,0.93094,0.91292,0.96945,0.86374,0.93094,0.91292,0.96945,0.80887,0.48838,0.86528,0.47483,1.08314,0.00878725,0.00878725,0.00878725
